block_type,block_type_name,inventory_item_type
187,MaskSkimask,4
188,HatSombrero,4
189,HatStetson,4
190,HatStrawHat,4
191,HatTennisHeadband,4
192,HatTopHat,4
193,HatWoolcapGreen,4
194,HairBeadedBlack,4
195,HairBradedBlack,4
196,HairLongBlonde,4
197,HairLongBrown,4
198,HairLongGolden,4
199,HairLongPink,4
200,HairLongCurlyBrown,4
201,HairPigtailRed,4
202,HairPunkBlue,4
203,HairAfroDark,4
204,HairArchyGrey,4
205,HairBuzzCutBrown,4
206,HairCasualBrown,4
207,HairClownRed,4
208,HairPonytailBrown,4
209,HairSideyBlack,4
210,HairSpikyBlack,4
211,HairSpikyBrown,4
212,ShirtTBlack,4
213,ShirtTSkullRed,4
214,CapeSparta,4
215,WingsDemon,4
216,WeaponGunRevolver,5
217,WeaponGunAK47,5
218,Chicken,0
219,Cow,0
220,Sheep,0
221,ScifiPanel1,0
222,ScifiPanel2,0
223,ScifiPanel3,0
224,ScifiBackground1,1
225,ScifiBackground2,1
226,ScifiLights,0
227,ScifiDoor,0
228,ScifiGenerator,0
229,ScifiCrate,0
230,ScifiTable,0
231,HauntedMirror,0
232,Chains,0
233,CandleStand,0
234,Gravestone,0
235,SlimeBackground,1
236,Diploma,0
237,WireFence,0
238,WoodenBarrel,0
239,MetalBarrel,0
240,WindowFrameWooden,1
241,YardLamp,0
242,Bookshelf,0
243,GreyBrickWallpaper,1
244,RustyPlate,0
245,JunkBackground,1
246,FireBarrel,0
247,JunkBlock,0
248,WastelandWall,1
249,BulletRiddledWall,1
250,RustyBackground,1
251,DeadTree,0
252,RadioactiveBarrel,0
253,UraniumBlock,0
254,WindowFrameBroken,1
255,DottedPinkBlock,0
256,SheetMetalBlack,0
257,SheetMetalDirty,0
258,FishBowl,0
259,PurpleJello,0
260,CircuitBoard,0
261,StarryWallpaper,1
262,ManekiNekoR,0
263,Bed,0
264,BookPodium,0
265,Gargoyle,0
266,Fridge,0
267,Coffin,0
268,WindowFrameTinted,1
269,WallpaperTorn,1
270,WoodenBackgroundLight,1
271,NoteBoard,0
272,GlassDoorTinted,0
273,Dice,0
274,Gramophone,0
275,GlassCabinet,0
276,BarStool,0
277,HelloBot,0
278,WatermelonBlock,0
279,ArrowSign,0
280,StopSign,0
281,PlayNoteA,0
282,PlayNoteASharp,0
283,PlayNoteB,0
284,PlayNoteC,0
285,PlayNoteCSharp,0
286,PlayNoteD,0
287,PlayNoteDSharp,0
288,PlayNoteE,0
289,PlayNoteF,0
290,PlayNoteFSharp,0
291,PlayNoteG,0
292,PlayNoteGSharp,0
293,RatingBoard,0
294,MagicCauldron,0
295,VortexPortal,0
296,GlassBlock,0
297,Fishtank,0
298,FlatScreenTV,0
299,WaterBed,0
300,IronFence,0
301,CactusBlock,0
302,PottedPlant,0
303,SkullBlock,0
304,DiscoBall,0
305,AmateurRadio,0
306,DeskTopPC,0
307,MetalChairYellow,0
308,MetalChairBlue,0
309,MetalChairRed,0
310,MetalChairPink,0
311,MetalChairGreen,0
312,TVChair,0
313,Sargophagus,0
314,TrashCan,0
315,HeartDecoration,0
316,OpenSign,0
317,DecorativeSword,0
318,MarbleFireplace,0
319,Bat,0
320,Bathtub,0
321,ParrotCage,0
322,StainedGlassWindow,1
323,Mailbox,0
324,FireHydrant,0
325,SwingChair,0
326,MirrorWardrobe,0
327,SuitOfArmor,0
328,SteelBlock,0
329,Portal,0
330,CeilingLampWhite,0
331,Fungi,0
332,CatDecoration,0
333,WallpaperWhiteStriped,1
334,CoatRack,0
335,DiscoBlock,0
336,Whiteboard,0
337,MammothIceBlock,0
338,PosterHeavyMetal,0
339,MakeupTable,0
340,MetalTableRound,0
341,Wardrobe,0
342,CoatRackSheriff,0
343,EndLavaRock,0
344,EndLava,0
345,TightsRed,4
346,TailTiger,4
347,ShirtFlash,4
348,ShirtHeart,4
349,PantsCamo,4
350,HatWolf,4
351,DressPink,4
352,ShoesLightBlue,4
353,ShoesLoafers,4
354,CoatLong,4
355,PantsSaggy,4
356,ShoesUggBoots,4
357,DressWhite,4
358,ShirtSweaterWhite,4
359,JacketBlack,4
360,ShoesGroxsYellow,4
361,ShirtJerseyPurple,4
362,ShoesFootwraps,4
363,HatFedoraGreen,4
364,PantsLeatherBlack,4
365,PantsShortsJean,4
366,PantsJeansGreen,4
367,GlovesWhite,4
368,HatFedoraRed,4
369,CoatRain,4
370,SuitOnepiece,4
371,HatHardHat,4
372,ShirtSoccer,4
373,ShirtAdventurer,4
374,PantsAdventurer,4
375,ShoesAdventurer,4
376,PantsSoccer,4
377,NoseClown,4
378,PantsCargo,4
379,PantsJeansRed,4
380,ShoesOnepiece,4
381,ShoesSneakersRed,4
382,EarPointy,4
383,HeadphonesBlack,4
384,HairBlue,4
385,HairLongBlack,4
386,HatAdventurer,4
387,BeardMoustache,4
388,MaskCarneval,4
389,MaskDevil,4
390,GlassesMirrorShades,4
391,GlassesSkiGogglesWhite,4
392,SuitToga,4
393,HatFedoraBlack,4
394,HatHeadScarfLightBlueHead,4
395,MaskMime,4
396,HatGlassHelmet,4
397,GloveMittensPink,4
398,SuitScifi,4
399,ShirtJerseyGreen,4
400,ShirtTSkullBlack,4
401,HairPunkGreen,4
402,DressLongBlue,4
403,TightsWhite,4
404,SuitClown,4
405,ShirtDressWhite,4
406,ShirtBlouseRed,4
407,ShoesBallerinaWhite,4
408,SkirtGreen,4
409,SkirtRed,4
410,LockSmall,0
411,LockMedium,0
412,LockLarge,0
413,LockWorld,0
414,LockGold,0
415,LockDiamond,0
416,LockClan,0
417,HatCapWoolWhite,4
418,WorldKey,0
419,CheckPoint,0
420,BonusBox1,0
421,BonusBox2,0
422,BonusBox3,0
423,BonusBoxVIP1,0
424,PennantBlack,0
425,SnowBlock,0
426,IceBackground,1
427,ShoesBallerinaRed,4
428,ShoesBallerinaBlack,4
429,JacketSuede,4
430,DressSkaterYellow,4
431,PantsJeansGanstaBaggy,4
432,ShoesBasketballGansta,4
433,ShirtJerseyGanstaRed,4
434,NeckChainGanstaGold,4
435,SkirtFarmDenim,4
436,SuitFarmOveralls,4
437,ShirtFarmPlaidRed,4
438,WeaponSickleFarm,5
439,WeaponMicrophoneGansta,5
440,GlovesRingGanstaBlin,4
441,PantsLeatherMedievalBrown,4
442,TunicMedievalExecutioners,4
443,TunicMedievalLords,4
444,ShirtMedievalPeasantRags,4
445,ShirtMedievalRingMail,4
446,CapeMedievalLords,4
447,GlovesMittensWoolWhite,4
448,ShirtWoolWhite,4
449,GloveClown,4
450,ShoesClown,4
451,PantsMedievalLords,4
452,BonusArrowSign,0
453,Buzzsaw,0
454,BonusBlackBackground,1
455,BonusBlackBlock,0
456,BonusBlackBlockHole,0
457,BonusBlackPillar,0
458,BonusBoxVIP2,0
459,BonusBoxVIP3,0
460,BonusConcreteBackground,1
461,BonusConcreteGrey,0
462,BonusCushionBackground1,1
463,BonusCushionBackground2,1
464,BonusDarksBackground,1
465,BonusFenceLeft,0
466,BonusFenceMiddle,0
467,BonusFenceRight,0
468,BonusGrandPrize,0
469,BonusLightbarsBackground,1
470,BonusLightCeiling,0
471,BonusLightWall,0
472,BonusNumber1,0
473,BonusNumber2,0
474,BonusNumber3,0
475,BonusNumber4,0
476,BonusNumber5,0
477,BonusRailing,0
478,BonusRedBackground1,1
479,BonusRedBackground2,1
480,BonusShinyBlock,0
481,BonusSign,0
482,BonusStarsBackground,1
483,BonusVioletBlock,0
484,BonusBlueBackground1,1
485,BonusBlueBackground2,1
486,BonusVioletBackground1,1
487,BonusVioletBackground2,1
488,BonusOrangeBackground1,1
489,BonusOrangeBackground2,1
490,BonusBlueDotBlock,0
491,BonusVioletDotBlock,0
492,BonusPlatform,0
493,Egg,6
494,PotionMilk,7
495,TileRed,1
496,TileOrange,1
497,TileYellow,1
498,TilePink,1
499,TileBlue,1
500,TileGreen,1
501,TileGlass,1
502,ArmChairLeopard,0
503,CountryBlockBrazil,0
504,CountryBlockDenmark,0
505,CountryBlockFinland,0
506,CountryBlockFrance,0
507,CountryBlockGermany,0
508,CountryBlockItaly,0
509,CountryBlockNorway,0
510,CountryBlockRussia,0
511,CountryBlockSpain,0
512,CountryBlockSweden,0
513,CountryBlockUK,0
514,ClassicSculpture,0
515,JumpsuitMale,4
516,CastleWallBackground,1
517,Underwear,4
518,FarmFence,0
519,OrbDesertBackground,7
520,OrbForestBackground,7
521,OrbIceBackground,7
522,OrbNightBackground,7
523,OrbSpaceBackground,7
524,OrbStarBackground,7
525,TutorialBot,0
526,JumpsuitFemale,4
527,HatJumpsuitMale,4
528,HatJumpsuitFemale,4
529,BonusBigSign001,0
530,BonusBigSign002,0
531,BonusBigSign003,0
532,BonusBigSign004,0
533,BonusBigSign005,0
534,BonusBigSign006,0
535,BonusBigSign007,0
536,BonusGrandPrizeLowerLeft,0
537,BonusGrandPrizeLowerRight,0
538,BonusGrandPrizeUpperLeft,0
539,BonusGrandPrizeUpperRight,0
540,HatSanta,4
541,HairSanta,4
542,ShoesSanta,4
543,PantsSanta,4
544,ShirtSanta,4
545,BeardSanta,4
546,MaskAlien1,4
547,MaskAlien2,4
548,SuitAlien1,4
549,SuitAlien2,4
550,ShirtHospitalGown,4
551,ShoesSneakersPink,4
552,ShoesSneakersGreen,4
553,ShirtTanktopGreen,4
554,ShirtTanktopBlack,4
555,TightsBlack,4
556,HatHeadScarfBlack,4
557,HatHeadScarfRed,4
558,ShirtBlouseOrange,4
559,ShoesSuitAlien1,4
560,ShoesSuitAlien2,4
561,SkirtMaxiYellow,4
562,DressMaxiLightGreen,4
563,DressDecoMaxiLightGreen,4
564,DressDecoLongBlue,4
565,HatSlouchyBeanieGrey,4
566,HeadphonesRed,4
567,HeadphonesBlue,4
568,PinkJello,0
569,LightBlueJello,0
570,GlowingContainer,0
571,GlassesNerdyPurple,4
572,EarringsGold,4
573,CapeGreen,4
574,DressDecoSkaterYellow,4
575,GloveSuitAlien1,4
576,GloveSuitAlien2,4
577,WeaponGlowStickRed,5
578,WeaponGlowStickBlue,5
579,WeaponGlowStickGreen,5
580,HairBuzzCutWhite,4
581,HairLongOrange,4
582,HairBlondeSpiky,4
583,HairPonytailBlonde,4
584,GloveLeather,4
585,DressDecoWhite,4
586,WingsPixie,4
587,MiniatureSpaceship,0
588,ScifiCratePile,0
589,ScifiComputer,0
590,BonusDoorVIP,0
591,HairAdminJaakko,4
592,JacketAdminJaakko,4
593,PantsJeansAdminJaakko,4
594,ShoesSneakersAdminJaakko,4
595,WeaponKatanaAdminJaakko,5
596,BackKatanaNoHiltAdminJaakko,4
597,GlassesAdminJaakko,4
598,WeaponSantaCane,5
599,HeadphonesAdminJaakko,4
600,DaHoodSign,0
601,PileOfMoney,0
602,DollarsBackground,1
603,MoneyBackground,1
604,RedVelvetBackground,1
605,BlingBlingBlock,0
606,BackKatanaHiltAdminJaakko,4
607,ShoesRubberBootsRed,4
608,WingsDarkPixie,4
609,ContactLensesRed,4
610,GlassesScifi,4
611,StrawberryBlock,0
612,PineappleBlock,0
613,KiwiBlock,0
614,ShoesAdminCommander,4
615,GlovesAdminCommander,4
616,SuitAdminCommander,4
617,HatHelmetVisorUpAdminCommander,4
618,HatHelmetVisorDownAdminCommander,4
619,GloveMittensRed,4
620,GloveMittensGreen,4
621,PantsElf,4
622,ShoesElf,4
623,HatElf,4
624,CoatElf,4
625,CandyCaneBlock,0
626,GingerbreadBlock,0
627,HollyWreath,0
628,Snowman,0
629,ChristmasRibbonGreen,0
630,ChristmasRibbonRed,0
631,ChristmasTree,0
632,WinterBells,0
633,ChristmasWallpaperRed,1
634,ChristmasWallpaperBlue,1
635,PantsKrampus,4
636,ShoesKrampus,4
637,HairKrampus,4
638,HatHornsKrampus,4
639,ReindeerLights,0
640,ChristmasLights,0
641,CoatKrampus,4
642,ScarfRed,4
643,ScarfGreen,4
644,EarMuffsRed,4
645,Icicles,0
646,WeaponCandyCane,5
647,CapeFrost,4
648,HatchWooden,0
649,HatchMetal,0
650,Skulls,0
651,Spider,0
652,AlienEye,0
653,StitchedSkinBlock,0
654,GhostBackground,1
655,GutsBackground,1
656,CloudPlatform,0
657,ShirtHoodieGrey,4
658,DressSkaterLightBlue,4
659,GlassesEyepatch,4
660,CapeTowel,4
661,GlassesScifiRed,4
662,GlassesScifiGreenVIP,4
663,GlassesMonocle,4
664,WeaponShortSwordGolden,5
665,WeaponFlameSword,5
666,WeaponSwordAdminMidnightWalker,5
667,SuitAdminMidnightWalker,4
668,CandyBlockGreen,0
669,CandyBlockRed,0
670,CandyBlockPink,0
671,CandyBlockBlue,0
672,CandyBlockCyan,0
673,CandyBlockYellow,0
674,CandyWatermelonBlock,0
675,CandySpiralBlock,0
676,MilkChocolateBlock,0
677,DarkChocolateBlock,0
678,CandyLaceBackground,1
679,ChocolateBackground,1
680,Cake,0
681,LiquorishBlock,0
682,CandyBackground,1
683,DarkChocolateDecoratedBlock,0
684,MaskRobbers,4
685,ShirtPonchoLightGreen,4
686,SuitJumpPrison,4
687,HatCandyKing,4
688,HatWinterPurple,4
689,HatWonky,4
690,MaskTeddyPink,4
691,MaskTeddyBlue,4
692,PantsShortsLove,4
693,DressBallerina,4
694,ShoesBallerinaLacedPink,4
695,ShoesLeisure,4
696,PantsLeisure,4
697,ShirtLeisure,4
698,PantsCandyShorts,4
699,ShoesChoco,4
700,ShoesCandyShoes,4
701,WeaponLollipop,5
702,ShoesHeffnerSlippers,4
703,BeardMoustachePink,4
704,HairCottonCandy,4
705,HeartBlock,0
706,GummyBearOrange,0
707,GummyBearGreen,0
708,GummyBearRed,0
709,OrbCandyBackground,7
710,CandyPillar,0
711,CoatHeffner,4
712,HairHairbandBlack,4
713,HeartWallpaper,1
714,DressCocktailBubblegum,4
715,ShoesBubbleGum,4
716,NeckRedRubyAdminEndless,4
717,HairAdminEndless,4
718,CoatAdminEndless,4
719,MaskAdminEndless,4
720,SuitTeddyPink,4
721,SuitTeddyBlue,4
722,ShoesTeddyPink,4
723,ShoesTeddyBlue,4
724,WingsCherubPink,4
725,SuitOverallsCandy,4
726,WeaponCandySceptre,5
727,GlassesSunHeart,4
728,CoatCandy,4
729,HairPonytailRed,4
730,HairLongPurple,4
731,WeaponAdminBanHammer,5
732,PantsCamoBlue,4
733,HatSlouchyBeanieBlue,4
734,ShoesSneakersWhite,4
735,ShirtJerseyYellow,4
736,CoatRainBlue,4
737,ShirtTSkullBlue,4
738,ShirtTanktopBlue,4
739,SkirtYellow,4
740,HatStetsonBeige,4
741,ShirtTGrey,4
742,CapeAchievementBlue,4
743,AchievementMedalBronze,0
744,AchievementMedalSilver,0
745,AchievementMedalGold,0
746,AchievementGobletBronze,0
747,AchievementGobletSilver,0
748,AchievementGobletGold,0
749,MaskPlagueDoc,4
750,PotOfGems,0
751,CloverLeafBackground,1
752,IrishBalloons,0
753,LuckyHorseshoe,0
754,CloverLeafBlock,0
755,GreenGiftwrapBackground,1
756,PennantGreen,0
757,MushroomGreen,0
758,RainbowBackground,1
759,LeprechaunGnome,0
760,GoldenHorseshoe,0
761,LuckyCloverLeaf,0
762,PotOfGold,0
763,WindowClover,1
764,HairAdminDev,4
765,PantsSpandexGreen,4
766,GlovesWristbandStPaddy,4
767,HatStetsonGreen,4
768,HairBobstyleGreen,4
769,DressIrishMaid,4
770,HatTophatIrish,4
771,CoatLeprechaun,4
772,PantsLeprechaun,4
773,ShoesLeprechaun,4
774,CoatGnome,4
775,PantsShortsGnome,4
776,GlassesRoundGlassesGreen,4
777,ScarfIrish,4
778,HairStPaddy,4
779,BeardStPaddy,4
780,ShoesGnome,4
781,HatStPaddy,4
782,WeaponFluteStPaddy,5
783,IrishPennantString,0
784,InfluencerWickerHat,4
785,QuestNPC,0
786,CloverLeaf,7
787,WeaponSwordGallowglass,5
788,HatBowlerLeprechaun,4
789,WeaponStickLeprechaun,5
790,CapeLeprechaunCape,4
791,WingsCloverWings,4
792,MaskIrishCharm,4
793,NeckLuckyCharm,4
794,WeaponGuitarAdminDev,5
795,BeardAdminDev,4
796,LockPlatinum,0
797,HatHelmetLion,4
798,HatCapBlack,4
799,HatTophatDecoBlack,4
800,HatBunnyEarsPink,4
801,EasterBlockBlue,0
802,EasterBlockGreen,0
803,EasterBlockPurple,0
804,EasterBlockRed,0
805,EasterBlockYellow,0
806,EasterSpheresBackground,1
807,EasterStripesBackground,1
808,EasterTilesBackground,1
809,EasterEggDecorationOrange,0
810,EasterEggDecorationBlue,0
811,EasterEggDecorationViolet,0
812,EasterEggBasket,0
813,EasterEggTrophy,0
814,WaterColorBlock,0
815,BunnyPlushToy,0
816,ChickPlushToy,0
817,Serpentine,0
818,SerpentineAndEggs,0
819,TailEasterBunny,4
820,NoseEasterBunny,4
821,WeaponAxeEaster,5
822,ShoesEasterBunny,4
823,ShardGreen,8
824,ShardRed,8
825,ShardBlue,8
826,ShardYellow,8
827,ShardOrange,8
828,ShardClear,8
829,ShardPink,8
830,ShardGrey,8
831,ShardAir,8
832,ShardFire,8
833,ShardWater,8
834,ShardEarth,8
835,ShardSpirit,8
836,ShardElectro,8
837,ShardSilicon,8
838,ShardDoom,8
839,ShardAmber,8
840,ShardPixie,8
841,ShardCircuit,8
842,ShardMagic,8
843,ShardFusion,8
844,ShardEaster,8
845,ShardNightmare,8
846,ShardHeart,8
847,Replicator,0
848,OrbHalloweenTowerBackground,7
849,BlueprintHatHelmetVisorPWR,9
850,BlueprintGlovesPWR,9
851,BlueprintShoesPWR,9
852,BlueprintSuitPWR,9
853,BlueprintWeaponSwordLaserGreen,9
854,BlueprintWeaponSwordLaserRed,9
855,BlueprintWeaponSwordLaserBlue,9
856,BlueprintOrbSpaceBackground,9
857,BlueprintCapeDark,9
858,BlueprintMaskBunnyDark,9
859,BlueprintSuitBunnyDark,9
860,BlueprintShoesBunnyDark,9
861,BlueprintMaskTiki,9
862,BlueprintJetPackPlasma,9
863,BlueprintNecklaceGlimmer,9
864,BlueprintWeaponSwordFlaming,9
865,HatHelmetVisorPWR,4
866,GlovesPWR,4
867,ShoesPWR,4
868,SuitPWR,4
869,WeaponSwordLaserGreen,5
870,WeaponSwordLaserRed,5
871,WeaponSwordLaserBlue,5
872,CapeDark,4
873,MaskBunnyDark,4
874,SuitBunnyDark,4
875,ShoesBunnyDark,4
876,MaskTiki,4
877,JetPackPlasma,4
878,NecklaceGlimmer,4
879,ShirtHoodieSupport,4
880,WingsDragonBlue,4
881,JetPackSoda,4
882,LockWorldDark,0
883,MaskChick,4
884,SuitChick,4
885,ShoesChick,4
886,MaskBunnyGreen,4
887,SuitBunnyGreen,4
888,ShoesBunnyGreen,4
889,HairChick,4
890,CapeEasterWitch,4
891,HatBunnyEars,4
892,MaskEggDetector,4
893,HatEasterWitchHeadScarf,4
894,WeaponEasterBranch,5
895,ShoesEasterWitch,4
896,DressEasterWitch,4
897,WeaponEasterWitchBroom,5
898,GlovesSkiGlovesGreen,4
899,ShoesSkiBoots,4
900,SuitOverallsSkiSuitRetro,4
901,HairSkimaskedBlonde,4
902,HairSkimaskedBrown,4
903,HairSkimaskedBlack,4
904,HairFringeSpikyBrown,4
905,ContactLensesBlue,4
906,ContactLensesGreen,4
907,ContactLensesGold,4
908,ContactLensesBrown,4
909,ContactLensesSilver,4
910,ContactLensesPurple,4
911,ContactLensesWhite,4
912,ContactLensesPink,4
913,ContactLensesTurquoise,4
914,HairUndercutLongBlonde,4
915,HairUndercutLongBrown,4
916,HairUndercutLongBlack,4
917,HairUndercutLongRed,4
918,HairUndercutWavyBrown,4
919,HairUndercutWavyReddish,4
920,HairUndercutWavyBlack,4
921,HairUndercutWavyBlonde,4
922,HairRockaBillyBlack,4
923,HairJPopRed,4
924,HairJPopBlue,4
925,HairJPopPurple,4
926,HairJPopGreen,4
927,HairAfroBrown,4
928,HairAfroBlack,4
929,HairAfroReddish,4
930,HairCurlyCurtainsBlonde,4
931,HairCurlyCurtainsBlack,4
932,HairCurlyCurtainsBrown,4
933,HairEmoBlack,4
934,GlovesRingFrost,4
935,GlovesRingGoblin,4
936,HairPuffyBlue,4
937,HairPuffyRed,4
938,HairSideyBrown,4
939,HairSiippaLongBrown,4
940,HairSiippaLongBlack,4
941,HairSiippaLongRed,4
942,HairZefBlonde,4
943,HairZefBrown,4
944,HairSpikyPunkBlue,4
945,HairSpikyPunkRed,4
946,HairMohawkGreen,4
947,HairMohawkRed,4
948,HairLongArchyBlonde,4
949,HairLongArchyRed,4
950,HairFringeSpikyBlonde,4
951,HairFringeSpikyBlack,4
952,HairFringeSpikyPink,4
953,Deflector,0
954,PinballBumper,0
955,SpringBoard,0
956,TrapdoorMetalPlatform,0
957,PoisonTrap,0
958,Elevator,0
959,SpikeBall,0
960,ShootingLaser,0
961,TeslaSphere,0
962,MovingPlatform,0
963,PressurePlate,0
964,ForceField,0
965,GlueBlock,0
966,GiftBox,0
967,ScoreBoard,0
968,FinishLine,0
969,StartPoint,0
970,DeathCounter,0
971,CapeAdminMidnightWalkerDouble,4
972,CapeAdminMidnightWalkerParachute,4
973,MaskHorseHead,4
974,OrientalTeaSet,0
975,ToriiGate,0
976,Hokora,0
977,YinYangBlock,0
978,SamuraiBlock,0
979,SamuraiBackground,1
980,TaikoDrum,0
981,KatanaDecoration,0
982,CherryBonsai,0
983,Bamboo,0
984,BambooWall,1
985,ManekiNekoL,0
986,DailyQuestNPC,0
987,HatHelmetSamuraiRed,4
988,ShirtSamuraiArmorRed,4
989,PantsSamuraiArmorRedBlack,4
990,ShoesSamuraiArmorYellowBlack,4
991,HatHelmetSamuraiBlack,4
992,ShirtSamuraiArmorBlack,4
993,PantsSamuraiArmorRedYellow,4
994,ShoesSamuraiArmorWhiteBrown,4
995,MaskSamuraiRed,4
996,MaskSamuraiBlack,4
997,GloveNinjaPurple,4
998,GloveNinjaGreyBlue,4
999,GloveNinjaDarkRed,4
1000,HatHoodNinjaPurple,4
1001,HatHoodNinjaBlue,4
1002,MaskNinjaRed,4
1003,ShirtNinjaBlue,4
1004,ShirtNinjaPurple,4
1005,ShirtNinjaDarkRed,4
1006,PantsNinjaBlue,4
1007,PantsNinjaDark,4
1008,PantsNinjaGrey,4
1009,ShoesNinjaGrey,4
1010,ShoesNinjaRed,4
1011,ShoesNinjaPurple,4
1012,DressGeishaBlue,4
1013,DressGeishaRed,4
1014,HairSamurai,4
1015,HairShogun,4
1016,HairGeisha,4
1017,WeaponSai,5
1018,WeaponSamuraiKatana,5
1019,WeaponNaginata,5
1020,ShoesGeishaRed,4
1021,ShoesGeishaBlack,4
1022,PantsBrokenHoleBlack,4
1023,ShirtHoodieSupportFemale,4
1024,GlassesRetro,4
1025,TailDevil,4
1026,HatSteampunk,4
1027,BlueprintHatHelmetSamuraiBlack,9
1028,BlueprintMaskSamuraiBlack,9
1029,BlueprintShogunArmorShirt,9
1030,BlueprintShogunArmorPants,9
1031,BlueprintShogunShoes,9
1032,BlueprintShogunKatana,9
1033,WeaponShogunKatana,5
1034,CapeShogunRed,4
1035,BackDecorativeBackKatana,4
1036,BlueprintShogunCape,9
1037,HairBuzzcutBlack,4
1038,ShirtHoodieMod,4
1039,SandCastleSmall,0
1040,SandCastleMedium,0
1041,SandCastleLarge,0
1042,SunUmbrellaBlue,0
1043,SunUmbrellaRed,0
1044,SunUmbrellaGold,0
1045,ShirtSportsTopBlue,4
1046,ShirtSportsTopRed,4
1047,ShirtSportsTopGold,4
1048,PantsSpeedosBlue,4
1049,PantsSpeedosRed,4
1050,PantsSpeedosGolden,4
1051,GlassesSunBlue,4
1052,GlassesSunRed,4
1053,GlassesSunGolden,4
1054,NeckFloaterDuck,4
1055,NeckFloaterWalrus,4
